ASIN,title,Price,Ratings,Brand,Amazon_choice,Product_Url
B079DR1SVG,"Truck Driver Bluetooth Headset/Office Headset with Microphone, BT 5.0 Wireless Over The Head Headset with Extra Boom Mic for Trucker,Truck Driver, Phones,Call Center, Skype, VoIP",,4.2 ,Electronic Home,True,https://www.amazon.com/Driver-Bluetooth-Headset-Wireless-Reduction/dp/B079DR1SVG?tag=pricee0d-20
B072M9TGRV,Khanka Hard Travel Case Replacement for Pioneer DJ DDJ-SB2 / DDJ-SB3 / DDJ-400 Portable 2-channel Controller or DDJ-SB Performance DJ Controller,,4.6 ,,nan,https://www.amazon.com/Khanka-Pioneer-Portable-2-channel-controller/dp/B072M9TGRV/ref=sr_1_1?dchild=1&keywords=682698422885&qid=1609057422&sr=8-1&tag=pricee0d-20
B007A99G4U,"Pyle Megaphone Speaker PA Bullhorn with Built-in Siren 50 Watts & Adjustable Volume Control Ideal for Football, Baseball, Hockey, Cheerleading Fans & Coaches or for Safety Drills - PMP53IN",,4.5 ,,nan,https://www.amazon.com/Pyle-Megaphone-Speaker-Bullhorn-Built/dp/B007A99G4U/ref=sr_1_1?dchild=1&keywords=PMP53IN&qid=1606710774&sr=8-1&tag=pricee0d-20
B004LLV04E,"PreSonus AudioBox Studio with Headphones, Microphone, Mic Cable, USB Cable, and StudioOne Artist Software (Download)",194.99,4.4 ,PreSonus,True,https://www.amazon.com/PreSonus-Studio-Headphones-Microphone-StudioOne/dp/B004LLV04E/ref=sr_1_1?dchild=1&keywords=Home+Recording+Studio+Audio+Equipment+Mic+Mixer+Headphones+StudioOne+Software&qid=1607680145&sr=8-1&tag=pricee0d-20
B00T3QBL3M,"BOSS Audio Systems MCBK420B Motorcycle Bluetooth Speaker System - Class D Compact Amplifier, 3 Inch Weatherproof Speakers, Volume Control, Great for Use with ATVs/Motorcycles, 12 Volt Vehicles",87.99,4.4 ,BOSS Audio Systems,nan,https://www.amazon.com/Audio-Systems-MCBK420B-Motorcycle-Bluetooth/dp/B00T3QBL3M/ref=sr_1_3?dchild=1&keywords=Boss+Audio+600w+Bluetooth+2+Speakers%2BAmplifier+Handlebar+System+Motorcycle%2FATV&qid=1607750898&sr=8-3&tag=pricee0d-20
B00T3QBL3M,"BOSS Audio Systems MCBK420B Motorcycle Bluetooth Speaker System - Class D Compact Amplifier, 3 Inch Weatherproof Speakers, Volume Control, Great for Use with ATVs/Motorcycles, 12 Volt Vehicles",87.99,4.4 ,BOSS Audio Systems,nan,https://www.amazon.com/Audio-Systems-MCBK420B-Motorcycle-Bluetooth/dp/B00T3QBL3M/ref=sr_1_9?dchild=1&keywords=Boss+Audio+600w+Bluetooth+2+Speakers%2BAmplifier+Handlebar+System+Motorcycle%2FATV&qid=1611224438&sr=8-9&tag=pricee0d-20
B00TOKTBL6,"Pyle Channel Microphone System-VHF Fixed Dual Frequency Wireless Set with 2 Handheld Dynamic Transmitter Mics, Receiver Base-for PA, Karaoke, Dj Party (PDWM2135) , Black",52.95,4.2 ,Pyle,True,https://www.amazon.com/Dual-Channel-Wireless-Microphone-System/dp/B00TOKTBL6?tag=pricee0d-20
B01D4KYRYC,Neewer® NW-700 Professional Condenser Microphone & NW-35 Suspension Boom Scissor Arm Stand with XLR Cable and Mounting Clamp & NW-3 Pop Filter & 48V Phantom Power Supply with Adapter Kit,,4.3 ,Neewer,True,https://www.amazon.com/Neewer-Professional-Condenser-Microphone-Suspension/dp/B01D4KYRYC/ref=psdc_11974661_t1_B00XOXRTX6?tag=pricee0d-20
B0071I0Q5S,"3-way Mini Box Speaker System - 3.5 Inch 200 Watt Weatherproof Marine Grade Mount Speakers - in a Heavy Duty ABS Enclosure Grill - Home, Boat, Poolside, Patio Indoor Outdoor Use - Pyle PLMR24B (Black)",,4.3 ,Pyle,True,https://www.amazon.com/3-way-Mini-Box-Speaker-System/dp/B0071I0Q5S/ref=pd_lpo_23_t_0/147-5964959-7009167?_encoding=UTF8&pd_rd_i=B0071I0Q5S&pd_rd_r=0b57d0f1-80cb-43e8-8a86-cd3a6d3bf832&pd_rd_w=rdHWq&pd_rd_wg=0bAKk&pf_rd_p=16b28406-aa34-451d-8a2e-b3930ada000c&pf_rd_r=YP36A3HKZ2F5M53SBAXT&psc=1&refRID=YP36A3HKZ2F5M53SBAXT&tag=pricee0d-20
B000JL9DXK,QFX M-336 Wireless Dynamic Professional Microphone - Twin Pack,26.99,3.6 ,QFX,nan,https://www.amazon.com/QFX-M-336-Wireless-Professional-Microphone/dp/B000JL9DXK/ref=sr_1_1?dchild=1&keywords=668105157014&qid=1605760102&sr=8-1&tag=pricee0d-20
